Employee_ID,Gender,Age,Performance_Score,,
1,Male,55,5,,
2,Male,29,5,,
3,Male,55,3,,
4,Female,48,2,,
5,Female,36,2,,
6,Male,43,3,,
7,Male,37,5,,
8,Female,55,2,,
9,Female,55,2,,
10,Female,45,1,,
11,Male,52,3,,
12,Male,27,5,,
13,Male,51,4,,
14,Male,27,4,,
15,Male,46,1,,
16,Male,26,2,,
17,Male,29,2,,
18,Other,28,3,,
19,Other,56,1,,
20,Male,23,2,,
21,Female,33,1,,
22,Male,59,5,,
23,Male,26,4,,
24,Male,58,2,,
25,Female,38,2,,
26,Male,38,5,,
27,Male,45,2,,
28,Male,43,3,,
29,Male,53,2,,
30,Male,52,3,,
31,Male,58,1,,
32,Female,24,4,,
33,Male,29,2,,
34,Female,25,4,,
35,Male,41,4,,
36,Female,42,5,,
37,Male,43,2,,
38,Other,46,2,,
39,Male,48,1,,
40,Female,58,5,,
41,Female,44,2,,
42,Male,29,4,,
43,Male,60,3,,
44,Female,43,3,,
45,Female,46,2,,
46,Female,29,2,,
47,Male,32,4,,
48,Male,31,1,,
49,Male,40,5,,
50,Other,57,2,,
51,Female,35,1,,
52,Male,40,2,,
53,Male,28,3,,
54,Female,37,2,,
55,Female,34,5,,
56,Female,34,3,,
57,Female,33,1,,
58,Male,23,4,,
59,Other,52,3,,
60,Female,54,1,,
61,Female,34,2,,
62,Male,53,5,,
63,Male,27,3,,
64,Female,58,4,,
65,Female,41,1,,
66,Male,37,4,,
67,Male,49,2,,
68,Male,39,2,,
69,Female,38,4,,
70,Male,52,1,,
71,Female,42,1,,
72,Female,42,4,,
73,Female,33,2,,
74,Female,47,2,,
75,Female,33,2,,
76,Male,47,4,,
77,Male,31,3,,
78,Male,28,5,,
79,Male,46,3,,
80,Female,54,1,,
81,Female,55,3,,
82,Female,23,3,,
83,Male,46,2,,
84,Female,28,1,,
85,Female,46,2,,
86,Female,59,4,,
87,Male,55,3,,
88,Male,52,2,,
89,Female,27,2,,
90,Female,39,4,,
91,Male,55,2,,
92,Male,48,1,,
93,Male,50,4,,
94,Male,52,4,,
95,Male,52,1,,
96,Female,30,3,,
97,Male,58,3,,
98,Female,38,3,,
99,Male,24,2,,
100,Other,33,3,,
101,Female,45,4,,
102,Female,33,1,,
103,Male,33,3,,
104,Male,58,4,,
105,Female,55,1,,
106,Male,46,4,,
107,Female,22,4,,
108,Female,37,4,,
109,Male,56,1,,
110,Male,36,5,,
111,Male,43,2,,
112,Male,39,1,,
113,Female,30,4,,
114,Male,35,4,,
115,Female,48,2,,
116,Female,56,5,,
117,Male,26,5,,
118,Male,38,4,,
119,Female,27,5,,
120,Male,29,3,,
121,Male,26,1,,
122,Female,25,1,,
123,Female,44,4,,
124,Male,46,4,,
125,Male,28,3,,
126,Male,34,1,,
127,Other,59,2,,
128,Male,31,2,,
129,Male,51,5,,
130,Other,29,1,,
131,Male,47,5,,
132,Male,32,5,,
133,Female,55,3,,
134,Female,29,2,,
135,Male,24,2,,
136,Male,23,5,,
137,Female,35,2,,
138,Male,28,5,,
139,Male,38,2,,
140,Female,39,1,,
141,Female,23,2,,
142,Male,22,3,,
143,Female,60,2,,
144,Female,54,3,,
145,Female,26,1,,
146,Male,43,2,,
147,Female,57,1,,
148,Male,58,3,,
149,Female,31,1,,
150,Female,55,1,,
151,Male,59,4,,
152,Male,25,4,,
153,Female,54,5,,
154,Male,60,3,,
155,Male,51,3,,
156,Female,35,1,,
157,Male,46,1,,
158,Female,39,1,,
159,Female,41,1,,
160,Female,30,4,,
161,Male,36,1,,
162,Male,32,5,,
163,Male,44,5,,
164,Male,37,1,,
165,Male,26,2,,
166,Female,30,3,,
167,Male,36,4,,
168,Male,31,5,,
169,Female,39,4,,
170,Female,34,5,,
